year,source,net_consumption_Tbtu
1949,Fossil Fuels,2979.062001
1950,Fossil Fuels,3321.708001
1951,Fossil Fuels,3697.341001
1952,Fossil Fuels,3919.734001
1953,Fossil Fuels,4362.131001
1954,Fossil Fuels,4464.459001
1955,Fossil Fuels,5122.662001
1956,Fossil Fuels,5527.080001
1957,Fossil Fuels,5736.534001
1958,Fossil Fuels,5627.956001
1959,Fossil Fuels,6266.841001
1960,Fossil Fuels,6565.395001
1961,Fossil Fuels,6801.226001
1962,Fossil Fuels,7216.744001
1963,Fossil Fuels,7845.872001
1964,Fossil Fuels,8410.663001
1965,Fossil Fuels,8938.439001
1966,Fossil Fuels,9880.951001
1967,Fossil Fuels,10289.759
1968,Fossil Fuels,11420.583
1969,Fossil Fuels,12386.348
1970,Fossil Fuels,13398.546
1971,Fossil Fuels,13893.405
1972,Fossil Fuels,14992.029
1973,Fossil Fuels,15921.233
1974,Fossil Fuels,15418.246
1975,Fossil Fuels,15191.283
1976,Fossil Fuels,16349.094
1977,Fossil Fuels,17446.395
1978,Fossil Fuels,17521.901
1979,Fossil Fuels,18155.98
1980,Fossil Fuels,18566.696
1981,Fossil Fuels,18552.683
1982,Fossil Fuels,17491.441
1983,Fossil Fuels,17754.364
1984,Fossil Fuels,18525.84
1985,Fossil Fuels,18792.426
1986,Fossil Fuels,18586.409
1987,Fossil Fuels,19365.331
1988,Fossil Fuels,20122.801
1989,Fossil Fuels,20591.33442
1990,Fossil Fuels,20209.09424
1991,Fossil Fuels,20113.2587
1992,Fossil Fuels,20047.19847
1993,Fossil Fuels,20776.44374
1994,Fossil Fuels,21031.58
1995,Fossil Fuels,21139.9044
1996,Fossil Fuels,21673.69025
1997,Fossil Fuels,22502.87174
1998,Fossil Fuels,23739.30696
1999,Fossil Fuels,23887.08589
2000,Fossil Fuels,25111.99332
2001,Fossil Fuels,24648.39996
2002,Fossil Fuels,24662.86114
2003,Fossil Fuels,24751.89343
2004,Fossil Fuels,25148.18103
1949,Nuclear,0.000001
1950,Nuclear,0.000001
1951,Nuclear,0.000001
1952,Nuclear,0.000001
1953,Nuclear,0.000001
1954,Nuclear,0.000001
1955,Nuclear,0.000001
1956,Nuclear,0.000001
1957,Nuclear,0.112
1958,Nuclear,1.915
1959,Nuclear,2.187
1960,Nuclear,6.026
1961,Nuclear,19.678
1962,Nuclear,26.394
1963,Nuclear,38.147
1964,Nuclear,39.819
1965,Nuclear,43.164
1966,Nuclear,64.158
1967,Nuclear,88.456
